timestep,episode,reward,length,mean_reward_10ep
6846,599,6.444,8,8.91
6852,600,4.646,6,8.817
6861,601,6.068,9,8.749
6864,602,1.749,3,6.706
6887,603,17.21,23,8.179
6896,604,7.148,9,8.509
6903,605,4.599,7,7.429
6910,606,5.613,7,6.633
6917,607,5.979,7,7.007
6925,608,6.43,8,6.589
6955,609,22.951,30,8.239
6957,610,1.118,2,7.887
6964,611,4.949,7,7.775
6969,612,3.748,5,7.975
6999,613,21.552,30,8.409
7029,614,21.984,30,9.892
7034,615,3.266,5,9.759
7043,616,6.531,9,9.851
7073,617,22.845,30,11.537
7081,618,5.482,8,11.443
7099,619,13.582,18,10.506
7114,620,11.011,15,11.495
7118,621,2.399,4,11.24
7148,622,23.317,30,13.197
7157,623,6.446,9,11.686
7163,624,3.952,6,9.883
7178,625,11.729,15,10.729
7183,626,3.846,5,10.461
7187,627,2.466,4,8.423
7217,628,22.03,30,10.078
7227,629,8.646,10,9.584
7246,630,14.214,19,9.905
7254,631,6.612,8,10.326
7265,632,8.069,11,8.801
7269,633,3.313,4,8.488
7279,634,7.478,10,8.84
7282,635,2.013,3,7.869
7290,636,6.78,8,8.162
7293,637,1.716,3,8.087
7301,638,5.982,8,6.482
7307,639,4.779,6,6.096
7316,640,7.413,9,5.416
7336,641,16.694,20,6.424
7348,642,9.412,12,6.558
7353,643,2.968,5,6.524
7359,644,4.033,6,6.179
7380,645,14.254,21,7.403
7399,646,16.444,19,8.37
7415,647,11.518,16,9.35
7418,648,2.182,3,8.97
7448,649,23.616,30,10.853
7456,650,5.501,8,10.662
7460,651,2.782,4,9.271
7469,652,7.366,9,9.066
7476,653,4.186,7,9.188
7494,654,13.931,18,10.178
7497,655,1.815,3,8.934
7501,656,2.913,4,7.581
7510,657,6.067,9,7.036
7521,658,9.044,11,7.722
7530,659,7.115,9,6.072
7542,660,9.398,12,6.462
7549,661,5.445,7,6.728
7555,662,4.512,6,6.443
7567,663,8.398,12,6.864
7574,664,5.216,7,5.992
7577,665,1.766,3,5.987
7583,666,4.812,6,6.177
7586,667,2.113,3,5.782
7598,668,10.178,12,5.895
7606,669,5.783,8,5.762
7614,670,6.032,8,5.426
7621,671,5.612,7,5.442
7633,672,9.646,12,5.956
7648,673,13.377,15,6.454
7651,674,1.767,3,6.109
7667,675,13.517,16,7.284
7682,676,11.285,15,7.931
7699,677,12.231,17,8.943
7702,678,1.666,3,8.092
7705,679,1.882,3,7.702
7712,680,4.6,7,7.558
7726,681,10.877,14,8.085
7745,682,15.377,19,8.658
7752,683,4.652,7,7.785
7758,684,4.779,6,8.087
